id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
59a13ceb,2021-11-20,47661246,772136,NA,660164042,463065911,230826014,200671170,44825,11785,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-21,47692618,772259,NA,660927267,463719983,231031022,200732420,45373,11973,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-22,47851516,773402,NA,662081804,465557452,231514566,200905596,46834,12296,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-23,47944287,774880,NA,663708162,467367157,231999057,201071884,47703,12329,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-24,48064179,776516,NA,665368750,468770932,232396688,201228032,47901,12448,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-25,48095032,776893,NA,666124965,468800525,232405512,201233640,47297,12471,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-26,48146557,777437,NA,666889564,470022050,232712999,201413060,48189,12654,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-27,48171236,777629,NA,667795793,470925809,232927824,201616260,49069,12849,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-28,48195186,777750,NA,668615319,471524229,233066603,201767312,50165,13105,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-29,48411498,779624,NA,669984103,473209140,233412474,202135185,51813,13379,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-30,48520792,781183,NA,671877951,475161508,233810596,202533633,52644,13545,NA,-2,-2,-2,-3,-1,-1,-1,4,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-12-01,48660112,783149,NA,673848613,477370837,234264679,202953700,53311,13671,NA,-2,-2,-2,-3,-1,-1,-1,4,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-12-02,48798824,784506,NA,675895951,479568318,234705085,203354229,53587,13772,NA,-2,-2,-2,-3,-1,-1,-1,4,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-12-03,48952069,786667,NA,677833193,482047790,235184112,203854914,54392,13888,NA,-2,-2,-2,-3,-1,-1,-1,4,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-12-04,49010213,787157,NA,679203444,483549682,235479259,204317809,54572,13942,NA,-2,-2,-2,-3,-1,-1,-1,4,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-12-05,49044786,787318,NA,680022002,484289046,235641697,204510766,55670,14149,NA,-2,-2,-2,-3,-1,-1,-1,4,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-12-06,49242230,788660,NA,681317036,486144144,236023505,204841482,57447,14455,NA,-2,-2,-2,-3,-1,-1,-1,4,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
