date,deaths,people_vaccinated,people_fully_vaccinated,timepoint,people_vaccinated_change,deaths_change,people_fully_vaccinated_change
2022-04-15,987171,256649738,220760751,489,66776,723,64725
2022-04-16,987211,256686335,220793902,490,36597,40,33151
2022-04-17,987228,256698250,220802371,491,11915,17,8469
2022-04-18,987545,256757667,220859648,492,59417,317,57277
2022-04-19,987999,256819096,220917194,493,61429,454,57546
2022-04-20,988610,256879431,220975066,494,60335,611,57872
2022-04-21,989094,256937564,221030802,495,58133,484,55736
2022-04-22,989584,256994245,221087427,496,56681,490,56625
2022-04-23,989681,257030723,221120740,497,36478,97,33313
2022-04-24,989709,257051474,221138859,498,20751,28,18119
2022-04-25,990062,257101470,221187865,499,49996,353,49006
2022-04-26,990368,257153544,221237724,500,52074,306,49859
2022-04-27,991039,257207671,221289711,501,54127,671,51987
2022-04-28,991502,257262411,221343004,502,54740,463,53293
2022-04-29,991921,257320642,221402193,503,58231,419,59189
2022-04-30,992010,257354554,221433810,504,33912,89,31617
2022-05-01,992033,257375268,221451411,505,20714,23,17601
2022-05-02,992424,257422943,221496285,506,47675,391,44874
2022-05-03,993088,257472798,221543453,507,49855,664,47168
2022-05-04,995021,257522985,221590575,508,50187,1933,47122
2022-05-05,995715,257571868,221638082,509,48883,694,47507
2022-05-06,996168,257625944,221692032,510,54076,453,53950
2022-05-07,996264,257655818,221719639,511,29874,96,27607
2022-05-08,996283,257671645,221731449,512,15827,19,11810
2022-05-09,996612,257718709,221776205,513,47064,329,44756
2022-05-10,996916,257769523,221822641,514,50814,304,46436
2022-05-11,997481,257820181,221869849,515,50658,565,47208
2022-05-12,997853,257870755,221917729,516,50574,372,47880
2022-05-13,998279,257927681,221970107,517,56926,426,52378
2022-05-14,998325,257960735,221999955,518,33054,46,29848
2022-05-15,998352,257980848,222017005,519,20113,27,17050
2022-05-16,998673,258030423,222060742,520,49575,321,43737
2022-05-17,999027,258082422,222105728,521,51999,354,44986
2022-05-18,999607,258135277,222152686,522,52855,580,46958
2022-05-19,1000013,258188524,222200634,523,53247,406,47948
2022-05-20,1000411,258248609,222255329,524,60085,398,54695
2022-05-21,1000526,258283022,222286660,525,34413,115,31331
2022-05-22,1000577,258304471,222305332,526,21449,51,18672
2022-05-23,1000826,258357784,222352583,527,53313,249,47251
2022-05-24,1001375,258409714,222397784,528,51930,549,45201
2022-05-25,1002179,258461238,222443369,529,51524,804,45585
2022-05-26,1002522,258511096,222486688,530,49858,343,43319
2022-05-27,1003124,258566207,222536148,531,55111,602,49460
2022-05-28,1003159,258593533,222559888,532,27326,35,23740
2022-05-29,1003167,258610853,222573516,533,17320,8,13628
2022-05-30,1003189,258616712,222577733,534,5859,22,4217
2022-05-31,1003571,258666941,222623670,535,50229,382,45937
2022-06-01,1004163,258716058,222665361,536,49117,592,41691
2022-06-02,1004534,258762735,222704973,537,46677,371,39612
2022-06-03,1004941,258814429,222749716,538,51694,407,44743
2022-06-04,1005134,258841367,222772606,539,26938,193,22890
2022-06-05,1005152,258858400,222785994,540,17033,18,13388
2022-06-06,1005473,258903578,222823817,541,45178,321,37823
2022-06-07,1005943,258947751,222860040,542,44173,470,36223
2022-06-08,1006988,258992634,222897247,543,44883,1045,37207
2022-06-09,1007331,259036275,222932472,544,43641,343,35225
